file_name,P,acc
Coffee,0,0.7857142857142857
Coffee,0.5,0.7857142857142857
Coffee,1,0.7857142857142857
Coffee,1.5,0.7857142857142857
Coffee,2,0.5357142857142857
50words,0,0.7098901098901099
50words,0.5,0.7824175824175824
50words,1,0.810989010989011
50words,1.5,0.8087912087912088
50words,2,0.02857142857142857
Beef,0,0.5
Beef,0.5,0.5
Beef,1,0.5333333333333333
Beef,1.5,0.5333333333333333
Beef,2,0.2
Gun_Point,0,0.8866666666666667
Gun_Point,0.5,0.9666666666666667
Gun_Point,1,0.9733333333333334
Gun_Point,1.5,0.9733333333333334
Gun_Point,2,0.49333333333333335
SwedishLeaf,0,0.7472
SwedishLeaf,0.5,0.7712
SwedishLeaf,1,0.8096
SwedishLeaf,1.5,0.7984
SwedishLeaf,2,0.0624
yoga,0,0.8326666666666667
yoga,0.5,0.8343333333333334
yoga,1,0.8446666666666667
yoga,1.5,0.846
yoga,2,0.4643333333333333
